100517,UAL,United Continental Holdings, Inc.,Negative,Negative
1019737,NCI,NAVIGANT CONSULTING INC,Negative,Positive
1024725,TEN,TENNECO INC,Negative,Negative
1037976,JLL,JONES LANG LASALLE INC,Positive,Positive
10456,BAX,BAXTER INTERNATIONAL INC,Negative,Positive
1046257,INGR,Ingredion Inc,Positive,Negative
1051512,TDS,TELEPHONE & DATA SYSTEMS INC DE,Positive,Negative
